연도	시도	시군구	계열구분	설립구분	남녀구분	지역규모	학교명	주야간	교원수								직원수	학생수	학급수	홈페이지
									계		보통교과담당		전문교과담당		기타					
									계	여자	계	여자	계	여자	계	여자				
2018	서울	서초구	공업고등학교	공립	남여공학	특별/광역시	서울전자고등학교	주간	67	43	17	12	44	27	6	4	8	449	24	http://e-seoul.hs.kr
2018	서울	강남구	공업고등학교	사립	남자	특별/광역시	단국공업고등학교	주간	38	7	11	3	23	3	4	1	7	291	15	http://www.dankook.hs.kr
2018	서울	강남구	공업고등학교	사립	남여공학	특별/광역시	대진디자인고등학교	주간	69	28	22	10	38	14	9	4	9	684	27	http://www.daejindesign.hs.kr
2018	서울	강남구	공업고등학교	공립	남여공학	특별/광역시	서울로봇고등학교	주간	72	35	18	12	46	19	8	4	8	457	24	http://www.seoulrobot.hs.kr/
2018	서울	강남구	공업고등학교	사립	남여공학	특별/광역시	수도전기공업고등학교	주간	90	26	27	8	49	7	14	11	10	598	30	http://www.sudo.hs.kr
2018	서울	송파구	공업고등학교	공립	남여공학	특별/광역시	송파공업고등학교	주간	74	36	17	7	40	16	17	13	8	575	27	http://www.songpa-th.hs.kr
2018	서울	송파구	상업고등학교	사립	여자	특별/광역시	일신여자상업고등학교	주간	91	33	42	10	41	21	8	2	6	"1,096"	44	http://www.ilshin.hs.kr
2018	서울	강동구	공업고등학교	사립	남여공학	특별/광역시	상일미디어고등학교	주간	70	29	23	10	39	13	8	6	7	793	31	http://www.sangilmedia.hs.kr
2018	서울	강동구	상업고등학교	사립	남여공학	특별/광역시	서울컨벤션고등학교	주간	65	34	30	17	28	13	7	4	6	767	30	http://www.seoul-chs.hs.kr
2018	부산	중구	공업고등학교	사립	남여공학	특별/광역시	부산디지털고등학교	주간	48	7	21	3	21	2	6	2	8	367	21	http://digital.hs.kr
2018	부산	서구	공업고등학교	사립	남여공학	특별/광역시	경성전자고등학교	주간	48	14	18	4	25	7	5	3	9	464	21	http://kse.hs.kr
2018	부산	서구	공업고등학교	사립	남여공학	특별/광역시	알로이시오전자기계고등학교	주간	0	0	0	0	0	0	0	0	0	0	0	http://www.aloysius.hs.kr
2018	부산	서구	가사고등학교	사립	남여공학	특별/광역시	부산관광고등학교	주간	54	24	26	10	19	9	9	5	5	572	24	http://www.bstour.hs.kr
2018	부산	동구	상업고등학교	사립	남여공학	특별/광역시	부산컴퓨터과학고등학교	주간	66	32	26	15	34	14	6	3	6	726	31	http://www.pcs.hs.kr
2018	부산	영도구	상업고등학교	공립	남여공학	특별/광역시	부산영상예술고등학교	주간	52	36	20	14	25	17	7	5	9	469	22	http://visual.hs.kr/
2018	부산	영도구	상업고등학교	사립	남여공학	특별/광역시	부산보건고등학교	주간	56	19	26	9	24	7	6	3	6	542	26	http://busanhc.com
2018	부산	영도구	해양고등학교	국립	남여공학	특별/광역시	부산해사고등학교	주간	60	25	23	12	28	6	9	7	22	466	24	http://www.maritime.hs.kr
2018	부산	부산진구	공업고등학교	공립	남여공학	특별/광역시	경남공업고등학교	주간	79	42	25	18	37	13	17	11	15	786	34	http://www.knt.hs.kr
2018	부산	부산진구	공업고등학교	사립	남자	특별/광역시	동의공업고등학교	주간	48	16	18	8	23	6	7	2	8	485	21	http://www.dongeui-tech.hs.kr
